Date,Tweet_ID,Username,Raw Text,Likes,Retweets,is_fire,is_forest,is_urban
Mon Aug 12 23:58:43 +0000 2024,1823147133127528884,𝑪𝒐𝒎𝒃𝒊𝒏𝒆 𝑨𝒅𝒗𝒊𝒔𝒐𝒓 (41% v/v),"αντιμετώπισή της, η #φωτιά ξεπέρασε την κορυφογραμμή και έφτασε στα #Βριλήσσια. Σχετικά με τις καμένες περιουσίες δεν υπάρχει κανένας λόγος ανησυχίας: όσοι είχαν κάνει ιδιωτική ασφάλιση (με έκπτωση στον ΕΝΦΙΑ) θα πιέσουμε ώστε να αποζημιωθούν. Προέχει πάντα η ανθρώπινη ζωή! (2/2)",1,0,,,
Mon Aug 12 23:58:43 +0000 2024,1823147131009450231,𝑪𝒐𝒎𝒃𝒊𝒏𝒆 𝑨𝒅𝒗𝒊𝒔𝒐𝒓 (41% v/v),"Η #πυρκαγιά στην #Πεντέλη είναι μια ""megafire"" με ""χαοτικές κηλιδώσεις"" μέσα στα ακαθάριστα οικόπεδα. Ο κρατικός μηχανισμός λειτούργησε άψογα, επιχείρησαν έως 30 εναέρια πυροσβεστικά μέσα, αλλά λόγω των ευθυνών όσων δεν καθάρισαν το οικόπεδό τους δεν κατέστη δυνατή η άμεση (1/1)",0,0,,,
Mon Aug 12 23:57:12 +0000 2024,1823146751789871408,Bizznews.gr,Φωτιά στην Αττική: Αναζωπύρωση μετά τα μεσάνυχτα στο Αστεροσκοπείο -  https://t.co/HwZov1CiXA,0,0,,,
Mon Aug 12 23:55:55 +0000 2024,1823146428987756870,𝙰 𝙳𝚛𝚎𝚊𝚖𝚎𝚛 ✨💫,@Kwloskability @lovevoulis @TsgTeri Εδώ δε γνωρίζει η αριστερά τους τι ποιεί η δεξιά τους. Ο δήμαρχος ήξερε ότι υπήρχε αγνοούμενη κ δεν το ήξερε η πυροσβεστική...,1,0,,,
Mon Aug 12 23:53:12 +0000 2024,1823145743470723364,Giorgis,"@KostasVaxevanis @Ingenierosmar Κώστα, ο Λιγναδης τον τροχαγε και γούσταρε, η φωτιά μυρίζει χειρότερα από το σώβρακο",0,0,,,
Mon Aug 12 23:52:09 +0000 2024,1823145480534061159,Autou tou idiou | | ETHGas ⛽$XAGE,@nick0lasgamer @joelgr22 Συγνώμη αλλά δε νομίζετε οτι είναι είδηση οτι αυτή η ΝΔ έχει αφήσει να καούν πολλαπλάσια στρέμματα απο οποιαδήποτε άλλη κυβέρνηση στην Ελλάδα; Η διαφορά είναι τεράστια για να μην αναφερόμαστε σε αυτή. Εχεις ξανακούσει εσυ φωτιά στην Ελλάδα να καίει 25 μέρες;,2,0,,,
Mon Aug 12 23:51:56 +0000 2024,1823145424057987436,Katerina Moschoula,"@Cyberela Ρε, δεν απορροφούν τους ευρωπαϊκούς πόρους για την πυροσβεστική. Τι να κρατήσουν λεφτά;  Έπειτα πώς θα ιδιωτικοποιησουν και αυτήν, αν δε τη βγάλουν άχρηστη και εξαθλιωμενη;",2,0,,,
Mon Aug 12 23:51:46 +0000 2024,1823145382445994352,Christos Tsakos,"@RulesArk Είναι πρώτη φορά που φωτιά μπαίνει τόσο βαθιά σε αστικο ιστό, για αυτό το λέω.",1,0,,,
Mon Aug 12 23:51:35 +0000 2024,1823145336312901636,Forecast Weather Greece,🔥❗️Εκτός ελέγχου  η πυρκαγιά στη νέα Μάκρη λίγο πριν από το κέντρο  Φώτο : Dimitris Zaharis https://t.co/Cco2oaPppX,28,22,,,
Mon Aug 12 23:51:19 +0000 2024,1823145272093929605,Η όρεξη του eater,"@EllNikos Γιατί οι 47.946 μπάτσοι που έστειλε το καθεστώς αντί για πυροσβέστες, δεν εκτοπίζουν και δημοσιογράφους; Τους αφήνουν να πλησιάζουν εθελοντές μπροστά στη φωτιά, μετά να τρώνε πρόγκα και τελικά το κοντρόλ να αλλάζει εικόνα στο στούντιο. Θα βρούμε κανέναν νεκρό από χτύπημα.",1,0,,,
